Gender,Standard,Institute,Subject,Performance,Before_covid,During_covid,During_online,Online_with_instructions,Online_without_instructions,During_offline,Offline_with_instructions,Offline_without_instructions,Assurance
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,Technical,Good,4-7 hrs,4-7 hrs,4-7 hrs,4-7 hrs,4-7 hrs,less than 4 hrs,less than 4 hrs,less than 4 hrs,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Public,Technical,Average,less than  4 hrs,less than  4 hrs,4-7 hrs,4-7 hrs,less than 4 hrs,less than 4 hrs,4-7 hrs,less than 4 hrs,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,Science,Average,above 7 hrs,above 7 hrs,less than 4 hrs,less than 4 hrs,less than 4 hrs,less than 4 hrs,less than 4 hrs,less than 4 hrs,Neither agree nor disagree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,Technical,Good,less than  4 hrs,less than  4 hrs,4-7 hrs,4-7 hrs,4-7 hrs,less than 4 hrs,4-7 hrs,4-7 hrs,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,Technical,Good,less than  4 hrs,4-7 hrs,4-7 hrs,4-7 hrs,4-7 hrs,less than 4 hrs,4-7 hrs,4-7 hrs,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,Science,Good,4-7 hrs,less than  4 hrs,4-7 hrs,4-7 hrs,less than 4 hrs,less than 4 hrs,4-7 hrs,4-7 hrs,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,Technical,Average,less than  4 hrs,less than  4 hrs,above 7 hrs,4-7 hrs,less than 4 hrs,less than 4 hrs,less than 4 hrs,less than 4 hrs,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,Technical,Average,less than  4 hrs,less than  4 hrs,above 7 hrs,4-7 hrs,less than 4 hrs,less than 4 hrs,less than 4 hrs,less than 4 hrs,Neither agree nor disagree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,Technical,Good,4-7 hrs,4-7 hrs,less than 4 hrs,less than 4 hrs,less than 4 hrs,less than 4 hrs,less than 4 hrs,less than 4 hrs,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,Technical,Average,less than  4 hrs,4-7 hrs,4-7 hrs,4-7 hrs,less than 4 hrs,less than 4 hrs,less than 4 hrs,less than 4 hrs,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,Technical,Good,4-7 hrs,less than  4 hrs,less than 4 hrs,less than 4 hrs,less than 4 hrs,less than 4 hrs,less than 4 hrs,less than 4 hrs,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Public,Technical,Good,4-7 hrs,less than  4 hrs,4-7 hrs,less than 4 hrs,less than 4 hrs,less than 4 hrs,4-7 hrs,less than 4 hrs,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Public,Technical,Average,less than  4 hrs,4-7 hrs,4-7 hrs,less than 4 hrs,4-7 hrs,less than 4 hrs,less than 4 hrs,less than 4 hrs,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,Technical,Average,less than  4 hrs,above 7 hrs,1,less than 4 hrs,less than 4 hrs,above 7 hrs,less than 4 hrs,less than 4 hrs,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,Technical,Average,less than  4 hrs,less than  4 hrs,less than 4 hrs,less than 4 hrs,less than 4 hrs,4-7 hrs,4-7 hrs,4-7 hrs,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Public,Commerce,Average,less than  4 hrs,less than  4 hrs,less than 4 hrs,4-7 hrs,less than 4 hrs,less than 4 hrs,less than 4 hrs,less than 4 hrs,Disagree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,Science,Average,less than  4 hrs,less than  4 hrs,4-7 hrs,4-7 hrs,less than 4 hrs,less than 4 hrs,less than 4 hrs,less than 4 hrs,Neither agree nor disagree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,Science,Average,less than  4 hrs,less than  4 hrs,4-7 hrs,4-7 hrs,less than 4 hrs,less than 4 hrs,less than 4 hrs,less than 4 hrs,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,Technical,Average,4-7 hrs,less than  4 hrs,4-7 hrs,4-7 hrs,less than 4 hrs,4-7 hrs,4-7 hrs,4-7 hrs,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,Technical,Good,4-7 hrs,less than  4 hrs,4-7 hrs,above 7 hrs,less than 4 hrs,less than 4 hrs,less than 4 hrs,less than 4 hrs,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,Technical,Good,4-7 hrs,less than  4 hrs,less than 4 hrs,less than 4 hrs,less than 4 hrs,4-7 hrs,4-7 hrs,above 7 hrs,Neither agree nor disagree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,Science,Average,4-7 hrs,less than  4 hrs,less than 4 hrs,less than 4 hrs,less than 4 hrs,less than 4 hrs,less than 4 hrs,less than 4 hrs,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,Science,Average,4-7 hrs,less than  4 hrs,less than 4 hrs,less than 4 hrs,less than 4 hrs,less than 4 hrs,less than 4 hrs,less than 4 hrs,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,Technical,Good,less than  4 hrs,4-7 hrs,4-7 hrs,4-7 hrs,less than 4 hrs,less than 4 hrs,less than 4 hrs,less than 4 hrs,Neither agree nor disagree
